title_ru,alt_names,anime_id,status,type,year,age_rating,genres,source,studio,director,dubbing,site_rating,site_votes,site_views,url
Орендж,"['Orange ', ' orange（オレンジ） ', ' Апельсин']",6407,вышел,Сериал,2016,PG-13,"['Сёдзё ', ' Драма ', ' Романтика ', ' Фантастика ', ' Школьная жизнь']",Манга,['Telecom Animation Film'],['Хамасаки Хироси'],"['AniLibria ', ' Dejz ', ' Reni ', ' Amikiri ', ' SHIZA Project ', ' Лизавета ', ' Snowly ', ' Crunchyroll ', ' 3df voice ', ' AniDUB ', ' AniFilm ', ' AniMedia ', ' Anything Group ', ' DeadLine Studio ', ' Onibaku ', ' SovetRomantica']",7.83,715,66,https://old.yummyani.me/catalog/item/apelsin
Бурлящая кровь,"['Ｂ・Ｂ BURNING BLOOD ', ' Burning Blood ', ' Бурхлива кров']",5476,вышел,OVA,1990,R+,"['Сёнэн ', ' Драма ', ' Спорт']",Манга,['Magic Bus'],['Дэдзаки Осаму'],['Amazing Dubbing'],5.12,8,5,https://old.yummyani.me/catalog/item/burlyaschaya-krov
Вольный стиль! Вечное лето — Спецвыпуск,"['Free! 2nd Season Special ', ' Free! Eternal Summer Special ', ' Free! Eternal Summer: Kindan no All Hard! ', ' Free! Iwatobi Swim Club 2 Special ', ' Вільний стиль! Вічне літо — Спецвипуск']",11467,вышел,Спешл,2015,PG-13,"['Сёнэн ', ' Комедия ', ' Школьная жизнь']",Оригинальная идея,"['Kyoto Animation ', ' Animation Do']",['Unknown'],['Molodoy'],7.78,97,18,https://old.yummyani.me/catalog/item/volniy-stil-vechnoe-leto-spetsvipusk
Кошачий чай: Спецвыпуски,"[""Cat's Tea SP "", "" Cat's Tea Specials "", ' Mao Zhi Ming Bangai ', ' Mao Zhi Ming Specials ', ' Кошачий чай: Спецвипуски ', ' 猫之茗番外']",5443,вышел,ONA,2022,G,"['Комедия ', ' Фэнтези ', ' Не японское ', ' Исэкай']",Оригинальная идея,['TRCARTOON'],['Unknown'],"['VokiDoki ', ' Krivoglazzz ', ' Лита']",6.63,35,9,https://old.yummyani.me/catalog/item/koshachiy-chay-specvypuski
Взрывная,"['Combustible ', ' Hi no yojin ', ' Hi no Youjin ', ' Short Peace ', ' Вибухова ', ' Опасайтесь огня ', ' Хрупкий мир ', ' 火要鎮']",6519,вышел,Короткометражный фильм,2012,PG-13,"['Драма ', ' Исторический ', ' Повседневность']",Оригинальная идея,['Sunrise'],['Отомо Кацухиро'],"['AniCosmic ', ' MeT1oR ', ' LeoAbast ', ' Эли ', ' ОВН']",6.67,36,11,https://old.yummyani.me/catalog/item/vzryvnaya
Баскетбол Куроко: Вбрасывание,"['Kuroko no Basket Episode 22.5 ', ' Kuroko no Basket Special ', ' Kuroko no Basket: Tip Off ', "" Kuroko's Basketball: Tip Off "", ' Баскетбол Куроко: Вкидання ', ' 黒子のバスケ 第22.5Q 「Tip Off」']",11530,вышел,Спешл,2013,PG-13,"['Сёнэн ', ' Спорт ', ' Школьная жизнь']",Манга,['Production I.G'],['Тада Сюнсукэ'],['AniDUB'],7.99,297,43,https://old.yummyani.me/catalog/item/basketbol-kuroko-vbrasivanie
Плач Асуры 2,"[""Asura Cryin' 2 "", ' Asura kurain ', ' Плач Асури 2 ', ' アスラクライン 2']",10512,вышел,Сериал,2009,PG-13,"['Меха ', ' Приключения ', ' Экшен ', ' Сверхъестественное']",Ранобэ,['Seven Arcs'],['Кусакава Кэйдзо'],['Persona99'],6.75,36,13,https://old.yummyani.me/catalog/item/plach-asury-2
Открывая дверь,"['Open the Door ', ' Tobira o akete ', ' Tobira wo Akete ', ' Відчиняючи двері ', ' 扉を開けて']",9290,вышел,OVA,1986,PG-13,"['Приключения ', ' Фантастика ', ' Фэнтези ', ' Экшен']",книга,['Magic Bus'],['Симидзу Кэйдзо'],['AniDUB'],5.87,16,4,https://old.yummyani.me/catalog/item/otkryvaya-dver
Покетун,"['Chase the Beans ', ' Hero ni Naritai Pancham ', ' Poketoon ', ' Yume no Tsubomi ', ' Zuruggu to Mimikkyu ', ' Скрэгги и Мимикью']",10319,вышел,ONA,2020,G,"['Комедия ', ' Приключения ', ' Фэнтези']",Игра,"['Studio Colorido ', ' Magic Bus ', ' DandeLion Animation Studio ', ' Studio GOONEYS ', ' Pancake ', ' Mimoid ', ' team Yamahitsuji']",['Ёсиюки Коиэ'],"['Panzu.info ', ' ХЗ Лол']",6.44,16,5,https://old.yummyani.me/catalog/item/poketun
Космическая фантазия: Две тысячи и одна ночь,"['2001 Nights ', ' 2001 Ya Monogatari ', ' Nisenichi Ya Monogatari ', ' Space Fantasia 2001 Nights ', ' Space Fantasia 2001 Yoru Monogatari ', ' Space Fantasia Nisenichi Ya Monogatari ', ' Космічна фантазія: Дві тисячі і одна ніч ', ' スペース ファンタジア\u3000２００１夜物語']",5082,вышел,OVA,1987,R+,"['Сэйнэн ', ' Драма ', ' Фантастика ', ' Космос']",Манга,['TMS Entertainment'],['Такэути Ёсио'],"['Люб. Двухголосый ', ' Любительский двухголосый']",5.0,11,5,https://old.yummyani.me/catalog/item/kosmicheskaya-fantaziya-dve-tysyachi-i-odna-noch
Восхождение героя щита 5,"['Tate no Yuusha no Nariagari Season 5 ', ' The Rising of the Shield Hero Season 5 ', ' Сходження героя щита 5 ', ' 盾の勇者の成り上がり Season 5']",23688,анонс,Сериал,2015,PG-13,"['Драма ', ' Приключения ', ' Фэнтези ', ' Целый фэнтези мир ', ' Экшен ', ' Исэкай']",Ранобэ,['Unknown'],['Unknown'],['Unknown'],0.0,0,87,https://old.yummyani.me/catalog/item/voshozhdenie-geroya-schita-5
Детектив Конан: Чаепитие Зеро,"['Detective Conan: Zero no Tea Time ', "" Detective Conan: Zero's Tea Time "", ' Meitantei Conan: Zero no Nichijou ', ' Meitantei Conan: Zero no Tea Time ', "" Zero's Daily Life "", ' Детектив Конан: Чаювання Зеро ', ' 名探偵コナン ゼロの日常（ティータイム）']",5523,вышел,Сериал,2022,PG-13,"['Сёнэн ', ' Повседневность ', ' Полицейские']",Манга,['TMS Entertainment'],['Косака Томоти'],"['AniStar ', ' Persona99']",7.05,19,6,https://old.yummyani.me/catalog/item/detektiv-konan-chaepitie-zero
Стена великих воинов,"['Ju Bing Chang Cheng Zhuan ', ' The Great Warrior Wall ', ' Великая стена воинов ', ' Волчонок Сиа: Страж Великой стены воинов ', ' Стіна великих воїнів ', ' 巨兵长城传']",5492,вышел,Сериал,2019,G,"['Приключения ', ' Фэнтези ', ' Демоны ', ' Экшен ', ' Не японское']",Оригинальная идея,['2:10 AM Animation'],['Unknown'],"['StudioBand ', ' GrandStudio ', ' Studio Band']",3.83,12,5,https://old.yummyani.me/catalog/item/stena-velikih-voinov
Ящик предложений Мэдаки,"['Medaka Box ', ' Скринька пропозицій Медаки ', ' めだかボックス']",8460,вышел,Сериал,2012,PG-13,"['Сёнэн ', ' Этти ', ' Комедия ', ' Фантастика ', ' Экшен ', ' Боевые искусства ', ' Суперспособности ', ' Школьная жизнь']",Манга,"['Asahi Production ', ' Gainax']",['Саэки Сёдзи'],"['AniDUB ', ' AniFilm']",7.01,146,50,https://old.yummyani.me/catalog/item/yaschik-predlozheniy-medaki-1
Полиция будущего,"['Kido Keisatsu Patlabor ', ' Kidô keisatsu patorebâ ', ' Kidou Keisatsu Patlabor: On Television ', ' Mobile Police Patlabor ON TELEVISION ', ' Patlabor: The Mobile Police - The TV Series ', ' Поліція майбутнього ', ' 機動警察パトレイバー ON TELEVISION']",6272,вышел,Сериал,1989,PG-13,"['Детектив ', ' Драма ', ' Комедия ', ' Меха ', ' Фантастика ', ' Полицейские']",Оригинальная идея,['Sunrise'],['Ёсинага Наоюки'],"['Molodoy ', ' animereactor']",7.29,34,34,https://old.yummyani.me/catalog/item/policiya-buduschego-tv
По горло,"['Sore dake ga Neck ', ' That is the Bottleneck ', ' Вот и вся шея ', ' Это единственная шея ', ' それだけがネック']",6589,вышел,Малометражный сериал,2020,PG-13,['Детектив'],оригинальная идея,['Toho Interactive Animation'],['Игути Нобору'],"['Crunchyroll ', ' AniStar']",5.94,17,4,https://old.yummyani.me/catalog/item/po-gorlo
Мув-Лув: Альтернатива — Полное затмение,"['MLA TE ', ' Muv-Luv Alternative: Total Eclipse ', ' MuvLuv Alternative Total Eclipse ', ' Мув-Лув: Альтернатива — Повне затемнення ', ' マブラヴ オルタネイティヴ トータル・イクリプス']",8379,вышел,Сериал,2012,R+,"['Сэйнэн ', ' Драма ', ' Меха ', ' Приключения ', ' Фантастика ', ' Экшен ', ' Военная тематика ', ' Русские в аниме']",Ранобэ,"['Satelight ', ' ixtl']","['Инагаки Такаюки ', ' Андо Масаоми']","['AniDUB ', ' Nika Lenina ', ' Ancord ', ' AniLibria ', ' Persona99']",7.65,156,51,https://old.yummyani.me/catalog/item/polnoe-zatmenie
Драконий жемчуг Z: Стойкие бойцы — Гохан и Транкс,"['Dragon Ball Z Special 2: The History of Trunks ', ' Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks ', ' Dragon Ball Z: Resist Despair!! The Surviving Fighters - Gohan and Trunks ', ' Dragon Ball Z: The History of Trunks ', ' Dragon Ball Z: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks ', ' Драконівський жемчуг Z: Стійкі бійці — Гохан і Транкс ', ' ドラゴンボールＺ・絶望への反抗！！残された超戦士・悟飯とトランク']",306,вышел,Спешл,1993,PG-13,"['Сёнэн ', ' Драма ', ' Приключения ', ' Фэнтези ', ' Суперспособности ', ' Альтернативная история']",Манга,['Toei Animation'],['Нисио Дайсукэ'],"['CACTUS team ', ' Zodik ', ' RyukenDub Studio']",7.33,61,22,https://old.yummyani.me/catalog/item/drakonij-zhemchug-zet-stojkie-bojcy-gohan-i-tranks
Я не могу поймать кота,"['Neko Nanka Yonde mo Konai ', ' Neko nanka Yondemo Konai. ', ' NekoYon ', ' Я не можу спіймати кота ', ' 猫なんかよんでもこない。']",17089,вышел,Сериал,2015,G,"['Сэйнэн ', ' Повседневность']",Манга,['Unknown'],['Unknown'],"['Dream Cast ', ' Lelik_time ', ' Inferno_Phantom']",6.5,14,4,https://old.yummyani.me/catalog/item/ya-ne-mogu-poymat-kota
Детектив Конан: Потерянный корабль в небе — Фильм 14,"['Detective Conan Movie 14: The Lost Ship in the Sky ', ' Meitantei Conan Movie 14: Tenkuu no Lost Ship ', ' Meitantei Conan Tenkuu no Lost Ship ', ' Meitantei Conan: Tenkuu no rosuto shippu ', ' Детектив Конан: Потерянный корабль в небе ', ' 名探偵コナン 天空の難破船']",8268,вышел,Полнометражный фильм,2010,G,"['Сёнэн ', ' Детектив ', ' Приключения ', ' Экшен ', ' Полицейские']",Манга,['Tokyo Movie Shinsha'],['Ямамото Ясуитиро'],['Persona99'],8.19,27,9,https://old.yummyani.me/catalog/item/detektiv-konan-14
Май Мелоди и Куроми,"['My Melody & Kuromi ', ' My Melody to Kuromi ', ' Май Мелоді та Куромі ', ' マイメロディとクロミ']",17869,вышел,ONA,2025,Неизвестно,['Фэнтези'],Неизвестно,['Wit Studio'],['Unknown'],['TheDoctor Team'],7.67,6,11,https://old.yummyani.me/catalog/item/my-melody-kuromi
Пятеро!,"['Five Numbers! ', ' Norageki! ', ' Норагэки! ', "" П'ятеро! "", ' ノラゲキ！']",9535,вышел,OVA,2011,PG-13,"['Детектив ', ' Фантастика ', ' Космос']",Оригинальная идея,['Sunrise'],['Андо Хироаки'],['AniDUB'],5.52,25,6,https://old.yummyani.me/catalog/item/pyatero
Тристия,"['Aoi Umi no Tristia ', ' Tristia of the Deep Blue Sea ', ' Трістія ', ' 蒼い海のトリスティア']",8416,вышел,OVA,2004,PG,"['Меха ', ' Приключения ', ' Фантастика ', ' Фэнтези']",Видеоигра,['ufotable'],['Мацуи Хитоюки'],['XL Media'],5.4,10,4,https://old.yummyani.me/catalog/item/tristiya
Улисс 31: Космическая легенда,"['Uchuu Densetsu Ulysses 31 ', ' Ulysse 31 ', ' Ulysses 31 ', ' Улісс 31: Космічна легенда ', ' 宇宙伝説ユリシーズ31']",7076,вышел,Сериал,1981,G,"['Драма ', ' Приключения ', ' Фантастика ', ' Космос ', ' Экшен']",оригинальная идея,['TMS Entertainment'],['Нагахама Тадао'],['Люб. Одноголосый'],4.75,4,4,https://old.yummyani.me/catalog/item/uliss-31-kosmicheskaya-legenda
Персона 3: Новое начало,"['Persona 3 the Movie 1: Spring of Birth ', ' Persona 3 the Movie: #1 Spring of Birth ', ' Персона 3: Новий початок']",1071,вышел,Полнометражный фильм,2013,R-17+,"['Фэнтези ', ' Экшен ', ' Сверхъестественное']",Игра,['AIC'],['Акитая Нориаки'],"['AniDUB ', ' AniMedia ', ' CACTUS team ', ' FassaD ', ' Freedub Studio ', ' foxwave']",7.23,82,28,https://old.yummyani.me/catalog/item/persona-3-fil-m-pervyj
Эпоха доблести,"['Samurai Warriors ', ' Sengoku musou ', ' Епоха доблесті ', ' 戦国無双']",9816,вышел,Сериал,2015,PG-13,"['Экшен ', ' Самураи ', ' Исторический']",Игра,"['Tezuka Productions ', ' TYO Animations']",['Оти Кодзин'],"['AniLibria ', ' HectoR ', ' Mikrobelka ', ' Hikaru ', ' AniDUB']",6.44,18,5,https://old.yummyani.me/catalog/item/epoha-doblesti
Гинтама: Грандиозное собрание,"['Gintama Harumatsuri 2010 ', ' Gintama: Dai Hanseikai ', ' Ґінтама: Грандіозне зібрання']",405,вышел,Спешл,2010,PG-13,"['Сёнэн ', ' Комедия ', ' Пародия ', ' Экшен ', ' Самураи']",Манга,['Sunrise'],['Unknown'],"['Panzu.info ', ' ХЗ Лол ', ' Аноним']",7.23,94,19,https://old.yummyani.me/catalog/item/gintama-grandioznoe-sobranie
Война тануки в периоды Хэйсэй и Помпоко,"['Heisei tanuki gassen pompoko ', ' Heisei Tanuki Gassen Ponpoko ', ' Pom Poko ', ' Війна танукі в періоди Хейсей і Помпоко ', ' Помпоко: Война тануки в период Хэйсэй ', ' 平成狸合戦ぽんぽこ']",8468,вышел,Полнометражный фильм,1994,G,"['Драма ', ' Комедия ', ' Фэнтези']",Оригинальная идея,['Studio Ghibli'],['Такахата Исао'],"['Киномания ', ' Толстобров']",8.15,130,23,https://old.yummyani.me/catalog/item/voyna-tanuki-v-periody-heysey-i-pompoko
Милое лекарство: Все друзья — Большое собрание всех чудес!,"['Eiga Precure All Stars DX: Minna Tomodachi - Kiseki no Zenin Daishuugou! ', "" Eiga Purikyua ôru sutâzu DX: Minna tomodachi Kiseki no zen'in daishûgô "", ' Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou! ', ' Pretty Cure All Stars DX ', ' Милі ліки: Всі друзі — Велике зібрання всіх чудес! ', ' 映画 プリキュアオールスターズDX みんなともだちっ☆奇跡の全員大集合!']",7104,вышел,Полнометражный фильм,2009,G,"['Махо-сёдзё ', ' Сёдзё ', ' Комедия ', ' Фэнтези ', ' Экшен']",Оригинальная идея,['Toei Animation'],['Оцука Такаси'],['Helona'],6.5,34,11,https://old.yummyani.me/catalog/item/miloe-lekarstvo-vse-druzya-bolshoe-sobranie-vseh-chudes
Космический рыцарь Теккамен Блейд — OVA,"['Space Knight Tekkaman Blade 2 ', ' Space Knight Tekkaman Blade OVA ', ' Tekkaman Blade 2 ', ' Tekkaman Blade II ', ' Uchû no kishi Tekkaman Blade II ', ' Uchu no Kishi Tekkaman Blade OVA ', ' Uchuu no Kishi Tekkaman Blade II ', ' Космический рыцарь Теккамен Блейд 2 ', ' Космічний лицар Теккамен Блейд OVA ', ' 宇宙の騎士テッカマンブレード II']",6121,вышел,OVA,1994,R+,"['Драма ', ' Меха ', ' Приключения ', ' Фантастика ', ' Космос ', ' Экшен ', ' Военная тематика']",Оригинальная идея,['Tatsunoko Production'],['Тонокацу Хидэки'],['Unknown'],5.4,10,4,https://old.yummyani.me/catalog/item/kosmicheskiy-rycar-tekkamen-bleyd-ova
Странники духовного мира,"['Ling Jing Xing Zhe ', ' Lingjing Xingzhe ', ' Spirit Realm Walker ', ' Мандрівники духовного світу ', ' 灵境行者']",24272,анонс,ONA,2026,PG-13,"['Приключения ', ' Экшен ', ' Не японское ', ' Сверхъестественное']",Новелла,['Motion Magic'],['Unknown'],['Unknown'],0.0,0,6,https://old.yummyani.me/catalog/item/stranniki-duhovnogo-mira
"Скромные герои: Краб, яйцо и человек-невидимка","['Chiisana Eiyuu: Kani to Tamago to Toumei Ningen ', ' Modest Heroes ', ' Ponoc Short Films Theatre ', ' Ponoc Tanpen Gekijou ', ' Скромні герої: Краб, яйце і людина-невидимка ', ' Скромні герої: Театр короткометражних фільмів Понок ', ' Скромные герои: Театр короткометражных фильмов Понок ', ' ちいさな英雄－カニとタマゴと透明人間－']",5222,вышел,Короткометражный фильм,2018,G,"['Драма ', ' Приключения ', ' Фэнтези ', ' Экшен']",Оригинальная идея,['Studio Ponoc'],"['Ёнэбаяси Хиромаса ', ' Момосэ Ёсиюки ', ' Ямасита Акихико']","['Anything Group ', ' Milirina ', ' Sad_Kit ', ' AniDUB']",6.85,66,19,https://old.yummyani.me/catalog/item/3-istorii-ot-studii-ponoc
Мифические звери 2,"['Fabulous Beasts 2nd Season ', ' You Shou Yan 2nd Season ', ' Міфічні звірі 2 ', ' Сказочные зверьки 2 ', ' 有兽焉 第二季']",11035,вышел,ONA,2023,PG-13,"['Комедия ', ' Фэнтези ', ' Не японское']",Маньхуа,['Fenz'],['Unknown'],"['LightFamily ', ' Шмель ', ' Lamionna Jiang ', ' AniJoy ', ' VK']",6.91,33,14,https://old.yummyani.me/catalog/item/mificheskie-zveri-2
.хак//Лиминалити,"['.hack//LIMINALITY ', ' .хак//Лімінальність ', ' .хак//Переходная стадия ', ' Hack OVA']",9509,вышел,OVA,2002,PG-13,"['Детектив ', ' Фантастика ', ' Игры']",Игра,['Bee Train'],['Масимо Койти'],['AniDUB'],6.06,31,8,https://old.yummyani.me/catalog/item/hak-liminaliti
Каждый день воскресенье,"['Every Day is Sunday ', ' Everyday is Sunday ', ' Everyday seems Sunday ', ' Mainichi ga nichiyoubi ', ' Кожен день неділя ', ' 毎日が日曜日']",8776,вышел,OVA,1990,R+,"['Этти ', ' Комедия ', ' Романтика ', ' Полицейские']",Манга,['Production I.G'],['Уэда Хидэхито'],['AniDUB'],5.54,26,7,https://old.yummyani.me/catalog/item/kazhdyy-den-voskresene
Бегущие по Сети,"['Netrun-mon the Movie ', ' Netrunmon The Movie ', ' NetRunner ', ' Ті, що біжать Мережею ', ' ねとらん者 THE MOVIE']",6898,вышел,OVA,2004,PG-13,"['Этти ', ' Комедия ', ' Фэнтези']",Оригинальная идея,['Studio Hibari'],['Камата Юсукэ'],"['Get Smart Group ', ' Persona99']",5.2,15,5,https://old.yummyani.me/catalog/item/beguschie-po-seti
Ну не может моя сестрёнка быть такой милой: Анимированный комментарий,"[""My Little Sister Can't Be This Cute Specials Animated Commentary "", ' Ore no Imouto ga Konnani Kawaii Wake ga Nai Animated Commentary ', ' Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary ', ' Oreimo Animated Commentary ', ' Ну не може моя сестричка бути такою милою: Анімований коментар ', ' 俺の妹がこんなに可愛いわけがない SDキャラによるキャラクターコメンタリー']",26733,вышел,Спешл,2010,PG-13,['Комедия'],Ранобэ,['I was a Ballerina'],['Unknown'],['Unknown'],7.18,11,6,https://old.yummyani.me/catalog/item/nu-ne-mozhet-moya-sestrenka-bit-takoy-miloy-animirovanniy-kommentariy
Двойная фантазия Тамио Кагэямы,"['Kageyama Tamio no Double Fantasy ', ' Подвійна фантазія Таміо Каґеями ', ' 景山民夫のダブルファンタジー']",6778,вышел,Спешл,1994,PG-13,"['Комедия ', ' Ужасы']",Неизвестно,['Shin-Ei Animation'],['Unknown'],['Unknown'],4.33,6,2,https://old.yummyani.me/catalog/item/dvoynaya-fantaziya-tamio-kageyamy
Городской охотник: Заговор миллиона долларов,"['... ', ' 000 ', ' 000 Conspiracy ', ' City Hunter: $1 ', ' City Hunter: Hyakuman Dollar no Inbou ', ' City Hunter: Hyakuman Doru no Inbou ', ' City Hunter: Million Dollar Conspiracy ', ' City Hunter: Plot of $1 ', ' Міський мисливець: Змова мільйона доларів']",424,вышел,Короткометражный фильм,1990,PG-13,"['Сёнэн ', ' Детектив ', ' Комедия ', ' Мистика ', ' Экшен']",Неизвестен,['Sunrise'],['Кодама Кэндзи'],"['Amazing Dubbing ', ' Fronda Studio ', ' Persona99 ', ' Ranmaru ', ' Shoker']",6.68,19,6,https://old.yummyani.me/catalog/item/gorodskoj-ohotnik-fil-m-tretij
Ловцы снов,"['Dream Users ', ' Yume Tsukai ', ' Yumetsukai ', ' Ловці снів ', ' 夢使い']",7629,вышел,Сериал,2006,PG,"['Драма ', ' Фэнтези ', ' Повседневность']",Манга,['Madhouse'],['Ямадзаки Кадзуо'],['Persona99'],5.67,12,5,https://old.yummyani.me/catalog/item/lovcy-snov
Утраченное небесами: Сильнейшая,"[""Heaven's Lost Property Forte "", ' Sora no Otoshimono Forte ', ' Втрачене небесами: Найсильніша ', ' Утраченное небесами [ТВ-2]']",1055,вышел,Сериал,2010,PG-13,"['Сёнэн ', ' Этти ', ' Комедия ', ' Романтика ', ' Фантастика ', ' Фэнтези ', ' Ангелы ', ' Гарем ', ' Сверхъестественное']",Манга,['AIC'],['Хисаси Саито'],"['Amedia ', ' AniMedia ', ' Cuba77 ', ' Indie Dub ', ' SHIZA Project']",7.55,275,34,https://old.yummyani.me/catalog/item/padshaya-s-nebes-sil-nejshaya-tv-2
Госслужащие за работой,"['Servant x Service ', ' Держслужбовці за роботою ', ' Служащий x Служба']",435,вышел,Сериал,2013,PG-13,"['Сэйнэн ', ' Комедия ', ' Романтика ', ' Повседневность']",Манга,['A-1 Pictures'],['Ямамото Ясутака'],"['AniDUB ', ' AniLibria ', ' SHIZA Project']",7.68,142,51,https://old.yummyani.me/catalog/item/gossluzhashie-za-rabotoj
Ангел спустился ко мне!,"['Watashi ni Tenshi ga Maiorita! ', ' Wataten ', ' WataTen! An Angel Flew Down to Me ', ' WATATEN!: an Angel Flew Down to Me ', ' Ангел спустився до мене! ', ' Мне явился ангелочек! ', ' 私に天使が舞い降りた！']",6498,вышел,Сериал,2019,PG-13,"['Сёдзё-ай ', ' Комедия ', ' Повседневность']",Манга,['Doga Kobo'],['Хирамаки Дайсукэ'],"['AniLibria ', ' Derenn ', ' Kanade EU ', ' SlivciS ', ' MyAska ', ' AniDUB ', ' Vel ', ' Aleko ', ' AniMedia ', ' KovarnyBober ', ' Morin']",7.12,240,25,https://old.yummyani.me/catalog/item/angel-spustilsya-ko-mne
"Холмс на Тэрамати-Сандзе, Киото","['Holmes at Kyoto Teramachi Sanjo ', ' Holmes of Kyoto ', ' Kyoto Teramachi Sanjou no Holmes ', ' Холмс на Тераматі-Сандзе, Кіото ', ' 京都寺町三条のホームズ']",6433,вышел,Сериал,2018,PG-13,"['Детектив ', ' Драма ', ' Романтика ', ' Повседневность']",Ранобэ,['Seven'],['Сасаки Токихиро'],"['AniLibria ', ' Cleo-chan ', ' Arato ', ' Crunchyroll ', ' AniDUB ', ' AniMedia ', ' SHIZA Project']",7.31,94,19,https://old.yummyani.me/catalog/item/holms-na-teramati-sandze-kioto
Человеческое выживание!,"['Jintai no Survival! ', ' Людське виживання! ', ' 人体のサバイバル!']",11902,вышел,Короткометражный фильм,2020,G,"['Сёнэн ', ' Комедия ', ' Экшен']",Манга,['Toei Animation'],['Nasukawa Mitsuru'],['Unknown'],3.86,7,2,https://old.yummyani.me/catalog/item/chelovecheskoe-vizhivanie
Жизнь в углу 4,"['Sumikko Gurashi Movie 4 ', ' Sumikko Gurashi Movie 4: Sora no Oukoku to Futari no Ko ', ' Життя в кутку 4 ', ' 映画すみっコぐらし4（仮）']",19480,вышел,Полнометражный фильм,2025,G,['Комедия'],Детские сладости,['Fanworks'],['Ивата Наоми'],['Unknown'],5.5,2,3,https://old.yummyani.me/catalog/item/zhizn-v-uglu-4
Седьмой дух,"['07 Ghost ', ' 07-Ghost ', ' 7 Ghosts ', ' Seven Ghost ', ' The Seven Ghosts ', ' Сьомий дух ', ' セブンゴースト']",7449,вышел,Сериал,2009,PG-13,"['Дзёсэй ', ' Приключения ', ' Фэнтези ', ' Демоны ', ' Экшен ', ' Военная тематика']",Манга,['Studio Deen'],['Норихиро Такамото'],"['AniDUB ', ' AniLibria ', ' animereactor']",7.41,99,40,https://old.yummyani.me/catalog/item/sedmoy-duh
Проект воспитания девочек-волшебниц: Перезагрузка,"['Magical Girl Raising Project Restart ', ' Mahou Shoujo Ikusei Keikaku: Restart ', ' Проєкт виховання дівчат-чарівниць: Перезавантаження ', ' 魔法少女育成計画 restart']",16828,анонс,Сериал,2026,Неизвестно,"['Махо-сёдзё ', ' Сэйнэн ', ' Детектив ', ' Триллер ', ' Фэнтези ', ' Экшен ', ' Игры']",Ранобэ,['SynergySP'],['Хасимото Хироюки'],['Unknown'],0.0,0,8,https://old.yummyani.me/catalog/item/proekt-vospitaniya-devochek-volshebnic-perezagruzka
Атака титанов: Дневник Илзе,"['Attack on Titan OAD ', ' Shingeki no Kyojin OVA ', ' Атака титанів: Щоденник Ільзе ', ' Атака титанов OVA ', ' 進撃の巨人ＯＡＤ']",46,вышел,OVA,2013,R-17+,"['Сёнэн ', ' Драма ', ' Триллер ', ' Экшен']",Манга,['Wit Studio'],['Араки Тэцуро'],"['Crunchyroll ', ' KANSAI Studio ', ' Kansai ', ' Onibaku ', ' Дублированная ', ' Дублированный ', ' РуАниме ', ' РуАниме / DEEP ', ' DEEP']",8.07,1469,77,https://old.yummyani.me/catalog/item/vtorzhenie-gigantov-ova-1
Девушки и танки: Настоящая битва с Анцио!,"['Girls & Panzer: Kore ga Hontou no Anzio-sen desu! ', ' Girls & Panzer: This is the Real Anzio Battle! ', ' Girls und Panzer: This is the Real Anzio Battle! ', ' Девушки и танки OVA ', ' Дівчата та танки: Справжня битва з Анціо! ', ' ガールズ&パンツァー これが本当のアンツィオ戦です！']",231,вышел,OVA,2014,PG-13,"['Сэйнэн ', ' Комедия ', ' Военная тематика ', ' Спорт ', ' Школьная жизнь']",Оригинальная идея,['Actas'],['Мидзусима Цутому'],"['Onibaku ', ' Eladiel']",7.73,190,35,https://old.yummyani.me/catalog/item/devushki-i-tanki-nastoyashaya-bitva-za-ancio
Гробница богов 2,"['Shen Mu 2nd Season ', ' Tomb of Fallen Gods ', ' Гробниця богів 2 ', ' 神墓 第二季']",13736,вышел,ONA,2024,PG-13,"['Приключения ', ' Фэнтези ', ' Экшен ', ' Боевые искусства ', ' Исторический ', ' Не японское ', ' Китайское 3D']",Новелла,['Wonder Cat Animation'],['Лю Ко'],"['AniMaunt ', ' AniStar ', ' Animakima']",6.8,51,33,https://old.yummyani.me/catalog/item/grobnica-bogov-2
Сказание о земле Фэн-цзы: История стиля ветра,"['Fengzi Wuyu: Yinhe Pian ', ' Shape of the Wind ', ' The Continent of Wind ', ' Сказання про землю Фен-цзи: Історія стилю вітру ', ' 风姿物语 银河篇']",5389,вышел,ONA,2021,PG-13,"['Приключения ', ' Фэнтези ', ' Экшен']",Неизвестно,['Unknown'],['Unknown'],"['AniMy ', ' Любительский двухголосый ', ' ПВА ШОУ']",5.6,5,3,https://old.yummyani.me/catalog/item/skazanie-o-zemle-fen-czy-istoriya-stilya-vetra
