title_ru,alt_names,anime_id,status,type,year,age_rating,genres,source,studio,director,dubbing,site_rating,site_votes,site_views,url
Нулевой Эдем,"['Edens Zero ', ' Нульовий Едем']",1008,вышел,Сериал,2021,PG-13,"['Сёнэн ', ' Комедия ', ' Приключения ', ' Фантастика ', ' Космос ', ' Фэнтези ', ' Экшен']",Манга,['J.C.Staff'],"['Исихира Синдзи ', ' Судзуки Юси']","['AniDUB ', ' AniLibria ', ' AniRise ', ' AniStar ', ' AniStar Многоголосый ', ' AnimeVost ', ' Fronda Studio ', ' HaronMedia ', ' JAM ', ' JAM CLUB ', ' Jisedai ', ' Netflix ', ' SHIZA Project ', ' Sergei Vasya ', ' Silver AniAge ', ' Naikō']",7.52,291,51,https://old.yummyani.me/catalog/item/nulevoj-edem
"В джунглях всё было хорошо, пока не пришла Гуу 2","['Haré+Guu Deluxe ', ' Jungle wa Itsumo Hale Nochi Guu Deluxe ', ' Jungle wa Itsumo Haré nochi Guu Deluxe ', ' В джунглях всё было хорошо, пока не пришла Гуу: Делюкс ', ' У джунглях все було добре, поки не прийшла Гуу 2 ', ' ジャングルはいつもハレのちグゥ\u3000デラックス']",7824,вышел,OVA,2002,PG-13,"['Комедия ', ' Приключения ', ' Фэнтези ', ' Целый фэнтези мир ', ' Повседневность']",Манга,['Shin-Ei Animation'],['Мидзусима Цутому'],['rj24'],6.75,24,7,https://old.yummyani.me/catalog/item/v-dzhunglyah-vse-bylo-horosho-poka-ne-prishla-guu-2
Быть героем Икс,"['To Be Hero X ', ' Tu Bian Yingxiong X ', ' Бути героєм Ікс ', ' 凸变英雄X']",11672,вышел,ONA,2025,PG-13,"['Экшен ', ' Суперспособности ', ' Не японское']",Оригинальная идея,"['Pb Animation Co. ', ' Ltd. ', ' Paper Plane Animation ', ' Studio LAN']",['Ли Хаолин'],"['AniHope Studio ', ' Илюшкин ', ' Фубуки ', ' RESPECT ', ' Кот ', ' Rikii ', ' Pastaro ', ' Unere ', ' KittywXad ', ' Dio_Wood ', ' Kolendula ', ' shus ', ' Timoja ', ' Ahesam ', ' ТО Дубляжная ', ' Олег Куприянов ', ' Бахытжан Кантуринов ', ' Борис Рыбаков ', ' Валентина Вокс ', ' Дмитрий Авдюнин ', ' Руслан Суворов ', ' Виктор Касланов ', ' Екатерина Дорофеева ', ' Елизавета Родионова ', ' Алина Стародубцева ', ' Татьяна Загорская ', ' Михаил Онохов ', ' Dream Cast ', ' Lelik_time ', ' Royz ', ' Mirona ', ' Airis ', ' Just_Vlad ', ' BrainDeLook ', ' JAM ', ' Гамлетка Цезаревна ', ' 9й Неизвестный ', ' Jam ', ' NIKITOS ', ' Oriko ', ' Muroi ', ' AniLibria ', ' Hekomi ', ' Crowley ', ' Renie ', ' SlivciS ', ' Ditaro ', ' КОМНАТА ДИДИ ', ' Нямпир ', ' ДЯДЮШКА ТОТС ', ' Crunchyroll ', ' AniBaza ', ' AniDUB ', ' AniPLague ', ' AniStar ', ' AnimeVost ', ' DOBROVOICE ', ' Freedub Studio ', ' Fronda Studio ', ' LDA TEAM ', ' LightFamily ', ' RokuDub ', ' SHIZA Project ', ' Youkai Studio ', ' Творческая студия МИР ', ' FreeDub ', ' VF-Studio ', ' Watermelon Voice ', ' Kitsune Studio ', ' Renascendi Voice ', ' AniHope ', ' Starlight Studio ', ' Voice Forest Studio']",8.13,1412,1,https://old.yummyani.me/catalog/item/bit-geroem-iks
Сакура: Война миров — Сумирэ,"['『サクラ大戦』～神崎すみれ引退記念～「す・み・れ」 ', ' Sakura Taisen - Sumire Kanzaki quitte la scène ~Su Mi Re~ ', ' Sakura Taisen Sumire Kanzaki Intai Kinen: Su Mi Re ', ' Sakura Taisen: Kanzaki Sumire Intai Kinen - Su Mi Re ', ' Sakura Taisen: Sumire ', ' Sakura Wars Sumire Kanzaki Retirement Show ~Su Mi Re~ ', ' Sakura Wars: ~Su~Mi~Re~ ', ' Сакура: Війна світів — Суміре']",7739,вышел,OVA,2002,PG-13,"['Сёнэн ', ' Драма ', ' Меха ', ' Приключения ', ' Фантастика ', ' Русские в аниме']",Игра,['Radix'],['Мацуи Хитоюки'],['Unknown'],6.33,27,7,https://old.yummyani.me/catalog/item/sakura-voyna-mirov-sumire
Миюки в стране чудес,"['Fushigi no kuni no Miyuki-chan ', ' Miyuki-chan In Mirrorland ', ' Miyuki-chan in Wonderland ', ' Міюкі в країні чудес ', ' 不思議の国の美幸ちゃん']",9081,вышел,Неизвестно,1995,R+,"['Сёдзё-ай ', ' Этти ', ' Комедия ', ' Фэнтези']",Манга,['Madhouse'],['Саяма Киёко'],['AniFilm'],6.12,33,8,https://old.yummyani.me/catalog/item/miyuki-v-strane-chudes
Менеджер среднего звена Тонэгава,"['Chuukan Kanriroku Tonegawa ', ' Middle Manager Tonegawa ', ' Mr. Tonegawa: Middle Management Blues ', ' Менеджер середньої ланки Тонєгава ', ' 中間管理録トネガワ']",551,вышел,Сериал,2018,R-17+,"['Сэйнэн ', ' Драма ', ' Комедия ', ' Пародия ', ' Психология']",Манга,['Madhouse Studios'],['Кэйитиро Кавагути'],"['Crunchyroll ', ' AniDUB ', ' J&N Union ', ' Kansai ', ' SHIZA Project']",7.35,121,29,https://old.yummyani.me/catalog/item/menedzher-srednego-zvena-tonegava
Пикник в Потусторонье,"['Otherside Picnic ', ' Urasekai Picnic ', ' Пикник на другой обочине ', ' Пікнік у Потойбіччі']",1078,вышел,Сериал,2021,PG-13,"['Сёнэн ', ' Детектив ', ' Приключения ', ' Триллер ', ' Фэнтези ', ' Экшен ', ' Исэкай']",Новелла,"['Lidenfilms ', ' Felix Film']",['Сато Такуя'],"['AniLibria ', ' OkanaTsoy ', ' SlivciS ', ' StudioBand ', ' AniDUB ', ' AniStar ', ' Sergei Vasya ', ' Studio Band ', ' Wakanim']",7.57,397,68,https://old.yummyani.me/catalog/item/piknik-v-potustoron-e
Ёко из Сэнгоку: Тысяча демонов хаоса,"['Sengoku Youko 2nd Season ', ' Sengoku Youko Part 2 ', ' Sengoku Youko: Senma Konton-hen ', ' Йоко із Сенгоку: Тисяча демонів хаосу ', ' 戦国妖狐 千魔混沌編']",12085,вышел,Сериал,2024,PG-13,"['Сёнэн ', ' Приключения ', ' Фэнтези ', ' Экшен ', ' Исторический']",Манга,['White Fox'],['Айдзава Масахиро'],"['Crunchyroll ', ' AniBaza ', ' AniDUB ', ' AniLibria ', ' AniLot ', ' AniStar ', ' AnimeVost ', ' DubClub ', ' FumoDub']",7.33,109,40,https://old.yummyani.me/catalog/item/eko-iz-sengoku-tisyacha-demonov-haosa
Универсальная современная девyшка-кошка — OVA 2,"['All Purpose Cultural Cat Girl Nuku Nuku DASH! ', ' Bannou Bunka Neko-Musume DASH! ', ' Bannou Bunka Nekomusume Dash! ', ' Cat Girl Nuku Nuku DASH! ', ' Nuku Nuku Dash ', ' Универсальная современная девушка-кошка. DASH! ', ' Універсальна сучасна дівчина-кішка — OVA 2 ', ' 万能文化猫娘ＤＡＳＨ！']",5872,вышел,OVA,1998,R-17+,"['Этти ', ' Комедия ', ' Романтика ', ' Фантастика ', ' Экшен']",Манга,['Production Reed'],['Фудзимото Ёситака'],['Suzaku'],4.85,13,5,https://old.yummyani.me/catalog/item/universalnaya-sovremennaya-devyshka-koshka-ova-2
Атака титанов 3 | Часть 2,"['Attack on Titan Season 3 Part 2 ', ' Shingeki no Kyojin Season 3 Part 2 ', ' Атака титанів 3 ', ' Частина 2 ', ' Вторжение гигантов 3. Часть 2 ', ' 進撃の巨人 Season3 Part.2']",5826,вышел,Сериал,2019,R-17+,"['Сёнэн ', ' Драма ', ' Триллер ', ' Фантастика ', ' Фэнтези ', ' Экшен ', ' Альтернативная история ', ' Военная тематика']",Манга,['Wit Studio'],"['Араки Тэцуро ', ' Коидзука Масаси']","['StudioBand ', ' AniLibria ', ' AniMedia ', ' JAM ', ' JAM CLUB ', ' KANSAI Studio ', ' Kansai ', ' Onibaku ', ' Studio Band ', ' AniLibria.TV ', ' JAM, Studio Band ', ' Казахский']",8.96,5213,230,https://old.yummyani.me/catalog/item/ataka-titanov-tv-3-chast-2
Зенонзард: Эпизод 0,"['Zenonzard The Animation Episode 0 ', ' Зенонзард: Епізод 0']",11748,вышел,ONA,2019,PG-13,['Экшен'],Игра,['8bit'],['Ойкава Кэй'],"['AniLibria ', ' AniStar ', ' AniT']",6.62,21,6,https://old.yummyani.me/catalog/item/zenonzard-epizod-0
Жестокий Джек 2,"['Baiorensu jakku: jigoku-gai-hen ', ' Violence Jack 2 ', ' Violence Jack Jigoku Gai ', ' Violence Jack: Evil Town ', ' Violence Jack: Jigoku Gai Arc ', ' Violence Jack: Jigoku Gai Hen ', ' Violence Jack: Jigoku Gai-hen ', ' Жестокий Джек OVA 2 ', ' Жестокий Джек: Злой город ', ' Жорстокий Джек 2 ', ' バイオレンス ジャック 〜地獄街編〜']",5054,вышел,OVA,1988,R+,"['Драма ', ' Ужасы ', ' Фантастика ', ' Экшен ', ' Эротика']",Манга,['Studio 88'],"['Лоуренс Гиннесс ', ' Ёсио Накамура']","['Kallaider ', ' Persona99 ', ' Ranmaru']",5.94,36,14,https://old.yummyani.me/catalog/item/zhestokiy-dzhek-2
Покемон: Пичу и Пикачу,"['Pokemon: Pichu to Pikachu ', ' Pokemon: Pikachu and Pichu ', ' Poketto monsutâ: Pichû to Pikachû ', ' Покемон: Пикачу и Пичу ', ' Покемон: Пічу і Пікачу ', ' ピチューとピカチュウ']",5305,вышел,Короткометражный фильм,2000,PG,"['Сёнэн ', ' Комедия ', ' Приключения ', ' Фэнтези']",Игра,['Oriental Light & Magic'],['Юяма Кунихико'],['Unknown'],6.39,44,15,https://old.yummyani.me/catalog/item/pokemon-pikachu-i-pichu
Мы не можем учиться! 2,"['Bokutachi wa Benkyou ga Dekinai ', ' Bokutachi wa Benkyou ga Dekinai! ', ' We Never Learn ', ' We Never Learn!: BOKUBEN Season 2 ', ' Ми не можемо вчитися! 2']",901,вышел,Сериал,2019,PG-13,"['Сёнэн ', ' Этти ', ' Комедия ', ' Романтика ', ' Гарем ', ' Школьная жизнь']",Манга,['Silver'],['Ивасаки Ёсиаки'],"['AniLibria ', ' HectoR ', ' MyAska ', ' Amazing Dubbing ', ' AniDUB ', ' AniStar ', ' Studio Band']",7.45,490,54,https://old.yummyani.me/catalog/item/my-ne-mozhem-uchit-sya
Мобильный воин Гандам,"['First Gundam ', ' Kidô Senshi Gundam ', ' Kidou Senshi Gundam ', ' Mobile Suit Gundam ', ' Mobile Suit Gundam: 0079 ', ' MSG ', ' Мобільний воїн Ґандам ', ' 機動戦士ガンダム']",9676,вышел,Сериал,1979,PG-13,"['Сёнэн ', ' Драма ', ' Меха ', ' Фантастика ', ' Космос ', ' Экшен ', ' Военная тематика']",Оригинальная идея,['Sunrise'],['Томино Ёсиюки'],"['Persona99 ', ' GREEN TEA']",7.69,94,85,https://old.yummyani.me/catalog/item/mobilnyy-voin-gandam-1979
Связь душ,"['Soul Link ', "" Зв'язок душ "", ' Связь души']",8647,вышел,Сериал,2006,R+,"['Комедия ', ' Приключения ', ' Романтика ', ' Фантастика ', ' Космос ', ' Экшен ', ' Военная тематика']",Визуальная новелла,['Picture Magic'],['Токоро Тосикацу'],"['Animegroup ', ' Persona99']",6.07,14,7,https://old.yummyani.me/catalog/item/svyaz-dush
Пять невест: Медовый месяц,"['5-toubun no Hanayome* ', "" П'ять наречених: Медовий місяць "", ' 五等分の花嫁*']",12476,вышел,Спешл,2024,PG-13,"['Сёнэн ', ' Комедия ', ' Романтика ', ' Гарем ', ' Школьная жизнь']",Манга,['Bibury Animation Studios'],['Дзимбо Масато'],"['AniPid ', ' Алисия ', ' Нико ', ' Джули ', ' NooNaameAP ', ' Crunchyroll ', ' AniStar ', ' Рабочая партия']",7.59,304,90,https://old.yummyani.me/catalog/item/5-toubun-no-hanayome
Босоногий Гэн 2,"['Barefoot Gen 2 ', ' Hadashi no Gen 2 ', ' Босоногий Ґен 2 ', ' はだしのゲン\u3000２']",8383,вышел,Полнометражный фильм,1986,PG-13,"['Сёнэн ', ' Драма ', ' Исторический']",Манга,['Madhouse'],['Хирата Тосио'],"['AniDUB ', ' jar ', ' Dreamy Sleep ', ' Azazel ', ' Esther ', ' Molodoy ', ' Sever ', ' Люб. Одноголосый']",8.37,123,21,https://old.yummyani.me/catalog/item/bosonogiy-gen-2
Инуяся: Пламя острова Хорай,"['Inu Yasha: Guren no Houraijima ', ' Inuyasha - Guren no Houraijima ', ' InuYasha Movie 4: Guren no Houraijima ', ' InuYasha the Movie 4: Fire on the Mystic Island ', "" Інуяся: Полум'я острова Хорай "", ' 犬夜叉 紅蓮の蓬莱島']",9359,вышел,Полнометражный фильм,2004,PG-13,"['Сёнэн ', ' Драма ', ' Комедия ', ' Приключения ', ' Романтика ', ' Фэнтези ', ' Демоны ', ' Экшен ', ' Исторический ', ' Полулюди ', ' Сверхъестественное']",Манга,['Sunrise'],['Синохара Тосия'],['AniDUB'],7.92,49,16,https://old.yummyani.me/catalog/item/inuyasya-4
